loc_id, loc_name, loc_address, loc_latitude, loc_longitude, loc_scrape_url
1, "Mitcham Badminton Centre", "Unit 1/613 Whitehorse Rd, Mitcham VIC 3132", -37.814824926732776, 145.203730540949, "https://mitchambadminton.yepbooking.com.au/ajax/ajax.schema.php"
2, "Beyond Badminton Centre", "6 Torteval Pl, Clayton VIC 3168", -37.92834639295668, 145.13475801766785, "https://beyondbadminton.yepbooking.com.au/ajax/ajax.schema.php"
3, "Melbourne Badminton Centre", "6/16 Joseph St, Blackburn North VIC 3130", -37.79938486437684, 145.14466465575492, "https://melbournebadminton.yepbooking.com.au/ajax/ajax.schema.php"
4, "Heidelberg Badminton Centre", "U3, 661 Waterdale Rd, entrance on, Northern Rd, Heidelberg West VIC 3081", -37.729678989488065, 145.04992730972316, "https://heidelbergbc.yepbooking.com.au/ajax/ajax.schema.php"
